	summarized	lineages	abundances	resid	coverage
ENV-COV-24-1981_S7.tsv	[('BA.2.86* (BA.2.86.X)', 0.9350760726086621), ('JN.1.18* (JN.1.18.X)', 0.03081679090061385), ('Other', 0.025439999999488122), ('LB.1* (LB.1.X)', 0.005136131816768976)]	JN.1.38 XDR JN.1.46 JN.1.44.1 JN.1.24.1 JN.1.12 JN.1.29 JN.1.51.1 JN.1.25 JN.1.32.1 JN.1.22 JN.1.35 JN.1.48 JN.1.16 JN.1.36 JN.1.4.4 JN.1.4.1 JN.1.4.3 JN.1.9.2 JN.1.18.1 JN.1.6.1 JN.1.18.3 JN.1.16.1 JN.1.41 JN.1.2 JN.1.44 JN.1.24 JN.1.56 JN.1.28 JN.1.51 JN.1.23.1 JN.1.15 JN.1.21 JN.1.55 JN.1.6 JN.1.1 JN.1.52 JN.1.37 JN.1.39 JN.1.4 JN.1.8 JN.1.43 JN.1.9 JN.1.18 JN.1.42 KR.1.2 JN.1.34 JN.1.2.1 JN.1.28.1 JN.1.1.1 JN.1.1.4 JN.1.1.5 KY.1 JN.1.18.4 LA.2 LF.1 KR.5 JN.1.26 KR.3 JN.1.23 LH.1 LH.2 KW.1 KR.1 KW.1.2 JN.1 JN.1.1.8 JN.1.32 LM.1 KW.1.1 JN.1.42.2 JN.1.16.2 JN.1.17 JN.1.56.1 JN.1.29.1 LJ.1 JN.1.25.1 JN.1.48.2 JN.1.1.6 JN.1.36.1 LF.2 KQ.1 JN.1.4.6 JN.1.4.2 JN.1.8.1 JN.1.8.2 JN.1.8.4 JN.1.8.3 JN.1.9.1 LB.1 LF.3 LA.1 JN.1.39.2	0.50364100 0.02544000 0.00513613 0.00513613 0.00513613 0.00513613 0.00513613 0.00513613 0.00513613 0.00513613 0.00513613 0.00513613 0.00513613 0.00513613 0.00513613 0.00513613 0.00513613 0.00513613 0.00513613 0.00513613 0.00513613 0.00513613 0.00513613 0.00513613 0.00513613 0.00513613 0.00513613 0.00513613 0.00513613 0.00513613 0.00513613 0.00513613 0.00513613 0.00513613 0.00513613 0.00513613 0.00513613 0.00513613 0.00513613 0.00513613 0.00513613 0.00513613 0.00513613 0.00513613 0.00513613 0.00513613 0.00513613 0.00513613 0.00513613 0.00513613 0.00513613 0.00513613 0.00513613 0.00513613 0.00513613 0.00513613 0.00513613 0.00513613 0.00513613 0.00513613 0.00513613 0.00513613 0.00513613 0.00513613 0.00513613 0.00513613 0.00513613 0.00513613 0.00513613 0.00513613 0.00513613 0.00513613 0.00513613 0.00513613 0.00513613 0.00513613 0.00513613 0.00513613 0.00513613 0.00513613 0.00513613 0.00513613 0.00513613 0.00513613 0.00513613 0.00513613 0.00513613 0.00513613 0.00513613 0.00513613 0.00513613 0.00513613 0.00513613	0.4765528539	23.60967127
ENV-COV-24-2026_S25.tsv	[('BA.2.86* (BA.2.86.X)', 0.9792066508634206), ('KP.2* (KP.2.X)', 0.009397072140734992), ('KP.3* (KP.3.X)', 0.0059776173840383525)]	JN.1.49.1 JN.1.49 JN.1.49.2 KP.2.3 KP.2.3.1 KP.1.1.1 KP.2.4 KP.2.5 KP.3.2.1 KP.3.2.2 KP.1.2 KP.1.1.2 KP.3.3 KP.3.2 KP.5 JN.1.11.1 KP.2.15 KP.1 KP.1.1 KP.2.1 KP.3 KP.2	0.32361266 0.32361266 0.32361266 0.00170973 0.00170973 0.00119552 0.00119552 0.00119552 0.00119552 0.00119552 0.00119552 0.00119552 0.00119552 0.00119552 0.00119552 0.00119552 0.00119552 0.00119552 0.00119552 0.00119552 0.00119552 0.00119552	2.762789188	42.96224459
ENV-COV-24-2005_S16.tsv	[('KP.2* (KP.2.X)', 0.6777137595381499), ('BA.2.86* (BA.2.86.X)', 0.3202645446675376)]	KP.2 KP.2.1 KP.1.1.3 KP.2.12 KP.2.15 KP.1.1 KP.2.6 KP.2.3	0.16013227 0.16013227 0.16013227 0.16013227 0.16013227 0.16013227 0.03533405 0.00185062	11.0047086	61.68611845
ENV-COV-24-2047_S33.tsv	[('KP.3* (KP.3.X)', 0.4989354095668059), ('BA.2.86* (BA.2.86.X)', 0.328559219572975), ('KP.3.1.1* (KP.3.1.1.X)', 0.16916700000453522), ('KP.2* (KP.2.X)', 0.0030166675999327773)]	JN.1.11.1 KP.3 KP.3.1.1 KP.3.1 KP.2.3 KP.3.2.2	0.32855922 0.32855922 0.16916700 0.16916700 0.00301667 0.00120919	3.506126384	66.44483831
ENV-COV-24-2038_S31.tsv	[('LB.1* (LB.1.X)', 0.8838579998577059), ('BA.2.86* (BA.2.86.X)', 0.11331044606845865)]	LB.1 JN.1.16.1 JN.1.48	0.88385800 0.11177671 0.00153374	9.785794049	92.10112698
ENV-COV-24-2000_S13.tsv	[('KP.3.1.1* (KP.3.1.1.X)', 0.5091857779993685), ('BA.2.86* (BA.2.86.X)', 0.4675651090312938), ('KP.3* (KP.3.X)', 0.01786522200071315)]	KP.3.1.1 JN.1.10 JN.1.16 JN.1.49 KP.3.1	0.50918578 0.26043074 0.12113776 0.08599660 0.01786522	18.28756602	94.09423804
ENV-COV-24-2031_S28.tsv	[('LB.1* (LB.1.X)', 0.5531830280170604), ('KP.3* (KP.3.X)', 0.3321690709241435), ('BA.2.86* (BA.2.86.X)', 0.10640544597030131), ('KP.2* (KP.2.X)', 0.004755299999793154)]	LB.1 KP.3.1 JN.1.26 KP.3.3 KP.2.3 KP.2.14	0.55318303 0.26465567 0.10640545 0.06751340 0.00343401 0.00132129	20.69067607	99.40139785
ENV-COV-24-2004_S15.tsv	[('BA.2.86* (BA.2.86.X)', 0.5007482029036598), ('LB.1* (LB.1.X)', 0.49878613292237045)]	JN.1.9.2 LB.1 LF.2	0.49878613 0.49878613 0.00196207	3.592560506	50.13543792
ENV-COV-24-1991_S11.tsv	[('BA.2.86* (BA.2.86.X)', 0.9964638300984404)]	JN.1.11 JN.1.48 JN.1.55.2 JN.1.16.2 LJ.1 JN.1.51.1 JN.1.16 JN.1.30 JN.1.45 JN.1.58 JN.1.55 JN.1.21 JN.1.51 JN.1.38 JN.1.53 JN.1 JN.1.52	0.53218900 0.36787200 0.00680107 0.00680107 0.00680107 0.00680107 0.00680107 0.00680107 0.00680107 0.00680107 0.00680107 0.00680107 0.00680107 0.00680107 0.00680107 0.00680107 0.00118781	3.079420264	60.20466174
ENV-COV-24-2039_S32.tsv	[('BA.2.86* (BA.2.86.X)', 0.999124800127216)]	JN.1.11	0.9991248	8.712509384	43.71133331
