,Other,Recombinants,BA.2.X,XBB.X,XBB.1.5.X,XBB.1.9.X,BA.2.86.X,JN.1.X
2024-02-04,0.0009326400000000401,0.0,0.0,0.0,0.0,0.0,0.0,0.99906736
2024-02-05,0.0009326400000000401,0.0,0.0,0.0,0.0,0.0,0.0,0.99906736
2024-02-06,0.0009326400000000401,0.0,0.0,0.0,0.0,0.0,0.0,0.99906736
2024-02-07,0.0009326400000000401,0.0,0.0,0.0,0.0,0.0,0.0,0.99906736
2024-02-08,0.0009326400000000401,0.0,0.0,0.0,0.0,0.0,0.0,0.99906736
2024-02-09,0.0009326400000000401,0.0,0.0,0.0,0.0,0.0,0.0,0.99906736
2024-02-10,0.0009326400000000401,0.0,0.0,0.0,0.0,0.0,0.0,0.99906736
2024-02-11,0.0009326400000000401,0.0,0.0,0.0,0.0,0.0,0.0,0.99906736
2024-02-12,0.0009326400000000401,0.0,0.0,0.0,0.0,0.0,0.0,0.99906736
2024-02-13,0.0009326400000000401,0.0,0.0,0.0,0.0,0.0,0.0,0.99906736
2024-02-14,0.0009326400000000401,0.0,0.0,0.0,0.0,0.0,0.0,0.99906736
2024-02-15,0.0009326400000000401,0.0,0.0,0.0,0.0,0.0,0.0,0.99906736
