	Unnamed: 0.2	Unnamed: 0.1	Unnamed: 0	SiteProvince	DistrictName	EpiWeek	SampleCollectionDate	Sequence_ID	SiteName	Lineages	Abundances
COV-22-228	165	165	165	Gauteng	Johannesburg MM	33.0	2022-08-16	COV-22-228	Goudkoppies Wastewater Treatment Works	BA.5.X BA.4.X Recombinants	[0.85447211, 0.11476751, 0.02845499]
COV-22-230	167	167	167	KwaZulu-Natal	Ethekwini MM	33.0	2022-08-15	COV-22-230	Central Wastewater Treatment Works (KZN)	Delta BA.4.X BA.5.X Other	[0.85518591, 0.04372037, 0.02750661, 0.06457613000000001]
COV-22-231	168	168	168	Gauteng	Tshwane MM	33.0	2022-08-17	COV-22-231	Daspoort Wastewater Treatment Works	BA.5.X BA.4.X Recombinants	[0.6563064099999999, 0.22878184, 0.11173272000000001]
COV-22-232	169	169	169	Gauteng	Tshwane MM	33.0	2022-08-17	COV-22-232	Rooiwal Wastewater Treatment Works	BA.5.X	[0.99910153]
COV-22-235	171	171	171	Eastern Cape	Buffalo City MM	34.0	2022-08-23	COV-22-235	Mdantsane Wastewater Treatment Works	BA.5.X	[0.99949889]
COV-22-236	172	172	172	Free State	Mangaung MM	34.0	2022-08-23	COV-22-236	Sterkwater Wastewater Treatment Works	BA.5.X BA.4.X	[0.5561206700000001, 0.43948608]
COV-22-237	173	173	173	Gauteng	Tshwane MM	34.0	2022-08-25	COV-22-237	Daspoort Wastewater Treatment Works	BA.4.X BA.5.X BA.2.X Recombinants	[0.3239449, 0.58438393, 0.04185994, 0.04572898]
COV-22-238	174	174	174	Free State	Mangaung MM	34.0	2022-08-23	COV-22-238	Bloemspruit Wastewater Treatment Works	BA.5.X	[0.99710108]
COV-22-239	175	175	175	Gauteng	Ekurhuleni MM	35.0	2022-08-30	COV-22-239	Hartebeesfontein Waterworks	BA.5.X BA.4.X	[0.78046334, 0.21565499]
COV-22-240	177	177	177	Gauteng	Ekurhuleni MM	35.0	2022-08-30	COV-22-240	ERWAT Vlakplaat Wastewater Treatment Works	BA.5.X	[0.99682948]
COV-22-241	178	178	178	Gauteng	Johannesburg MM	35.0	2022-08-30	COV-22-241	Goudkoppies Wastewater Treatment Works	BA.5.X BA.4.X	[0.71417332, 0.283573]
COV-22-242	179	179	179	KwaZulu-Natal	Ethekwini MM	35.0	2022-08-29	COV-22-242	Central Wastewater Treatment Works (KZN)	BA.5.X BA.1.X Other	[0.9863868200000001, 0.00177563, 0.00658205]
COV-22-243	180	180	180	Gauteng	Tshwane MM	35.0	2022-08-31	COV-22-243	Daspoort Wastewater Treatment Works	BA.5.X BA.4.X	[0.8076739699999999, 0.18883499999999998]
COV-22-244	181	181	181	Free State	Mangaung MM	35.0	2022-08-30	COV-22-244	Bloemspruit Wastewater Treatment Works	BA.5.X	[0.99947512]
COV-22-245	182	182	182	Gauteng	Tshwane MM	35.0	2022-08-31	COV-22-245	Rooiwal Wastewater Treatment Works	BA.5.X BA.4.X Recombinants	[0.6546888200000001, 0.10894596, 0.23352679]
COV-22-247	184	184	184	Eastern Cape	Buffalo City MM	35.0	2022-08-30	COV-22-247	East Bank Wastewater Treatment Works	BA.5.X	[0.99917665]
COV-22-248	185	185	185	Free State	Mangaung MM	35.0	2022-08-30	COV-22-248	Sterkwater Wastewater Treatment Works	BA.5.X	[0.99748282]
COV-22-25	187	187	187	Gauteng	Ekurhuleni MM	4.0	2022-01-25	COV-22-25	Hartebeesfontein Waterworks	BA.2.X	[0.9988295799999999]
COV-22-256	192	192	192	Free State	Mangaung MM	36.0	2022-09-06	COV-22-256	Bloemspruit Wastewater Treatment Works	BA.5.X	[0.9978320899999997]
